municipality_code,municipality_name,total_unemployment,men_under_25,men_25_44,men_45_plus,women_under_25,women_25_44,women_45_plus,agriculture_sector,industry_sector,construction_sector,services_sector,no_previous_employment,province,year,month,data_type
15001,ABEGONDO,242.0,5.0,42.0,53.0,7.0,64.0,71.0,5.0,37.0,19.0,169.0,12.0,CORUÑA,2021,5,unemployment
15002,AMES,1794.0,27.0,262.0,416.0,42.0,491.0,556.0,24.0,105.0,97.0,1433.0,135.0,CORUÑA,2021,5,unemployment
15003,ARANGA,56.0,1.0,5.0,23.0,1.0,19.0,7.0,4.0,4.0,3.0,43.0,2.0,CORUÑA,2021,5,unemployment
15004,ARES,396.0,5.0,63.0,110.0,7.0,87.0,124.0,12.0,31.0,52.0,274.0,27.0,CORUÑA,2021,5,unemployment
15005,ARTEIXO,2189.0,37.0,354.0,474.0,41.0,587.0,696.0,35.0,268.0,174.0,1551.0,161.0,CORUÑA,2021,5,unemployment
15006,ARZUA,238.0,1.0,34.0,68.0,2.0,51.0,82.0,14.0,31.0,19.0,164.0,10.0,CORUÑA,2021,5,unemployment
15007,"BAÑA, A",171.0,1.0,20.0,54.0,0.0,37.0,59.0,13.0,26.0,23.0,104.0,5.0,CORUÑA,2021,5,unemployment
15008,BERGONDO,357.0,9.0,54.0,93.0,7.0,87.0,107.0,8.0,30.0,20.0,273.0,26.0,CORUÑA,2021,5,unemployment
15009,BETANZOS,753.0,14.0,109.0,187.0,19.0,201.0,223.0,19.0,58.0,51.0,571.0,54.0,CORUÑA,2021,5,unemployment
15010,BOIMORTO,72.0,0.0,6.0,27.0,0.0,13.0,26.0,10.0,6.0,12.0,37.0,7.0,CORUÑA,2021,5,unemployment
15011,BOIRO,921.0,22.0,159.0,211.0,35.0,236.0,258.0,53.0,164.0,61.0,584.0,59.0,CORUÑA,2021,5,unemployment
15012,BOQUEIXON,147.0,3.0,23.0,36.0,2.0,45.0,38.0,8.0,14.0,13.0,104.0,8.0,CORUÑA,2021,5,unemployment
15013,BRION,370.0,3.0,58.0,104.0,11.0,91.0,103.0,9.0,37.0,33.0,264.0,27.0,CORUÑA,2021,5,unemployment
15014,CABANA DE BERGANTIÑOS,242.0,3.0,25.0,59.0,2.0,59.0,94.0,7.0,63.0,28.0,135.0,9.0,CORUÑA,2021,5,unemployment
15015,CABANAS,176.0,2.0,28.0,58.0,0.0,27.0,61.0,3.0,19.0,18.0,123.0,13.0,CORUÑA,2021,5,unemployment
15016,CAMARIÑAS,320.0,1.0,38.0,70.0,5.0,76.0,130.0,27.0,39.0,30.0,205.0,19.0,CORUÑA,2021,5,unemployment
15017,CAMBRE,1459.0,23.0,207.0,350.0,24.0,337.0,518.0,19.0,164.0,104.0,1087.0,85.0,CORUÑA,2021,5,unemployment
15018,"CAPELA, A",62.0,1.0,12.0,20.0,0.0,15.0,14.0,4.0,9.0,11.0,34.0,4.0,CORUÑA,2021,5,unemployment
15019,CARBALLO,2339.0,40.0,265.0,505.0,49.0,600.0,880.0,46.0,511.0,342.0,1303.0,137.0,CORUÑA,2021,5,unemployment
15901,CARIÑO,189.0,4.0,26.0,54.0,2.0,43.0,60.0,16.0,19.0,14.0,129.0,11.0,CORUÑA,2021,5,unemployment
15020,CARNOTA,180.0,0.0,17.0,62.0,0.0,22.0,79.0,13.0,24.0,24.0,115.0,4.0,CORUÑA,2021,5,unemployment
15021,CARRAL,301.0,6.0,43.0,62.0,7.0,97.0,86.0,7.0,50.0,20.0,203.0,21.0,CORUÑA,2021,5,unemployment
15022,CEDEIRA,388.0,5.0,59.0,99.0,6.0,99.0,120.0,30.0,56.0,24.0,250.0,28.0,CORUÑA,2021,5,unemployment
15023,CEE,536.0,8.0,76.0,134.0,8.0,137.0,173.0,27.0,62.0,58.0,357.0,32.0,CORUÑA,2021,5,unemployment
15024,CERCEDA,214.0,5.0,26.0,42.0,6.0,51.0,84.0,7.0,36.0,28.0,136.0,7.0,CORUÑA,2021,5,unemployment
15025,CERDIDO,66.0,1.0,9.0,25.0,0.0,17.0,14.0,10.0,14.0,6.0,35.0,1.0,CORUÑA,2021,5,unemployment
15026,CESURAS,81.0,2.0,19.0,27.0,2.0,15.0,16.0,6.0,8.0,10.0,52.0,5.0,CORUÑA,2021,5,unemployment
15027,COIROS,66.0,0.0,8.0,19.0,0.0,20.0,19.0,3.0,3.0,5.0,55.0,0.0,CORUÑA,2021,5,unemployment
15028,CORCUBION,102.0,3.0,18.0,24.0,0.0,25.0,32.0,2.0,7.0,7.0,82.0,4.0,CORUÑA,2021,5,unemployment
15029,CORISTANCO,404.0,8.0,41.0,122.0,7.0,73.0,153.0,18.0,101.0,76.0,178.0,31.0,CORUÑA,2021,5,unemployment
15030,"CORUÑA, A",16408.0,295.0,2632.0,4188.0,332.0,3798.0,5163.0,218.0,1079.0,1007.0,12603.0,1501.0,CORUÑA,2021,5,unemployment
15031,CULLEREDO,1955.0,30.0,277.0,477.0,35.0,450.0,686.0,13.0,208.0,135.0,1459.0,140.0,CORUÑA,2021,5,unemployment
15032,CURTIS,145.0,0.0,18.0,31.0,5.0,42.0,49.0,5.0,12.0,8.0,110.0,10.0,CORUÑA,2021,5,unemployment
15033,DODRO,166.0,2.0,19.0,37.0,1.0,45.0,62.0,7.0,34.0,8.0,110.0,7.0,CORUÑA,2021,5,unemployment
15034,DUMBRIA,166.0,2.0,27.0,28.0,1.0,45.0,63.0,5.0,13.0,15.0,127.0,6.0,CORUÑA,2021,5,unemployment
15035,FENE,786.0,11.0,144.0,209.0,7.0,156.0,259.0,10.0,83.0,94.0,541.0,58.0,CORUÑA,2021,5,unemployment
15036,FERROL,5034.0,102.0,885.0,1260.0,97.0,1110.0,1580.0,138.0,427.0,473.0,3468.0,528.0,CORUÑA,2021,5,unemployment
15037,FISTERRA,337.0,4.0,53.0,69.0,6.0,87.0,118.0,23.0,17.0,20.0,255.0,22.0,CORUÑA,2021,5,unemployment
15038,FRADES,83.0,3.0,14.0,29.0,0.0,13.0,24.0,4.0,13.0,10.0,49.0,7.0,CORUÑA,2021,5,unemployment
15039,IRIXOA,47.0,0.0,5.0,18.0,2.0,9.0,13.0,1.0,4.0,4.0,36.0,2.0,CORUÑA,2021,5,unemployment
15041,"LARACHA, A",677.0,16.0,89.0,144.0,21.0,165.0,242.0,9.0,132.0,74.0,422.0,40.0,CORUÑA,2021,5,unemployment
